question_id,question,difficulty,products
1471,What is the ratio of customers who pay in EUR against customers who pay in CZK?,simple,['customers']
1472,"In 2012, who had the least consumption in LAM?",moderate,"['customers', 'yearmonth']"
1473,What was the average monthly consumption of customers in SME for the year 2013?,moderate,"['customers', 'yearmonth']"
1476,What was the difference in gas consumption between CZK-paying customers and EUR-paying customers in 2012?,challenging,"['customers', 'yearmonth']"
1479,Which year recorded the most consumption of gas paid in CZK?,moderate,"['customers', 'yearmonth']"
1480,What was the gas consumption peak month for SME customers in 2013?,moderate,"['customers', 'yearmonth']"
1481,"What is the difference in the annual average consumption of the customers with the least amount of consumption paid in CZK for 2013 between SME and LAM, LAM and KAM, and KAM and SME?",challenging,"['customers', 'yearmonth']"
1482,"Which of the three segments—SME, LAM and KAM—has the biggest and lowest percentage increases in consumption paid in EUR between 2012 and 2013?",challenging,"['customers', 'yearmonth']"
1483,How much did customer 6 consume in total between August and November 2013?,simple,['yearmonth']
1484,"How many more ""discount"" gas stations does the Czech Republic have compared to Slovakia?",simple,['gasstations']
1486,"Is it true that more SMEs pay in Czech koruna than in euros? If so, how many more?",simple,['customers']
1490,How many percent of LAM customer consumed more than 46.73?,moderate,"['customers', 'yearmonth']"
1493,"In February 2012, what percentage of customers consumed more than 528.3?",simple,['yearmonth']
1498,What is the highest monthly consumption in the year 2012?,simple,['yearmonth']
1500,"Please list the product description of the products consumed in September, 2013.",simple,"['yearmonth', 'products', 'transactions_1k']"
1501,"Please list the countries of the gas stations with transactions taken place in June, 2013.",moderate,"['yearmonth', 'gasstations', 'transactions_1k']"
1505,"Among the customers who paid in euro, how many of them have a monthly consumption of over 1000?",simple,"['yearmonth', 'customers']"
1506,Please list the product descriptions of the transactions taken place in the gas stations in the Czech Republic.,moderate,"['products', 'gasstations', 'transactions_1k']"
1507,Please list the disparate time of the transactions taken place in the gas stations from chain no. 11.,simple,"['gasstations', 'transactions_1k']"
1509,"Among the transactions made in the gas stations in the Czech Republic, how many of them are taken place after 2012/1/1?",moderate,"['gasstations', 'transactions_1k']"
1514,What kind of currency did the customer paid at 16:25:00 in 2012/8/24?,simple,"['customers', 'gasstations', 'transactions_1k']"
1515,What segment did the customer have at 2012/8/23 21:20:00?,simple,"['customers', 'transactions_1k']"
