question_id,query,difficulty,dataset,plan,type,columns
468,"What is the Simplified Chinese translation of the name of the set ""Eighth Edition""?",moderate,card_games,"{""plans"": [{""function"": ""http://127.0.0.1:5200/retrieve"",""filter_dict"": {""product"": ""http://127.0.0.1:5000/products/card_games/sets""}},{""function"": ""http://127.0.0.1:5200/filter"", ""filter_dict"": {""conditions"": {""name"": ""Eighth Edition""}}},{""function"": ""http://127.0.0.1:5200/retrieve"",""filter_dict"": {""product"": ""http://127.0.0.1:5000/products/card_games/set_translations""}},{""function"": ""http://127.0.0.1:5200/filter"",""filter_dict"": {""conditions"": {""language"": ""Chinese Simplified""}}},{""function"":'combination', 'filter_dict': {""columns_left"": ""code"", ""columns_right"": ""setCode"", ""type"": ""equals"", ""values"": [""None""]}}]}",-,-
344,List all the mythic rarity print cards banned in gladiator format.,moderate,card_games,"{'plans': [{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/card_games/cards'}},{""function"": ""http://127.0.0.1:5200/filter"", ""values"": {""conditions"": {""rarity"": ""mythic""}}},{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/card_games/legalities'}},{""function"": ""http://127.0.0.1:5200/filter"", ""values"": {""conditions"": {""format"": ""gladiator"",""status"":""Banned""}}},{""function"":'combination', 'filter_dict':{'columns_left': 'uuid', 'columns_right': 'uuid', 'type': 'equals','values': ['None']}}]}",-,-
340,Which are the cards that have incredibly powerful foils.,simple,card_games,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/card_games/cards""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""cardKingdomFoilId"":""not empty"",""cardKingdomId"":""not empty""}}}]}",index,id
341,What are the borderless cards available without powerful foils?,simple,card_games,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/card_games/cards""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""cardKingdomFoilId"":""empty"",""cardKingdomId"":""empty"",""borderColor"":""borderless""}}}]}",index,id
477,"Which of these artists have designed a card in the set Coldsnap, Jeremy Jarvis, Aaron Miller or Chippy?",challenging,card_games,"{'plans': [{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/card_games/cards'}},{""function"": ""http://127.0.0.1:5200/filter"", ""values"": {""conditions"": {""artist"": [""Jeremy Jarvis"",""Aaron Miller"",""Chippy""]}}},{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/card_games/sets'}},{""function"": ""http://127.0.0.1:5200/filter"", ""values"": {""conditions"": {""name"": ""Coldsnap""}}},{""function"":'combination', 'filter_dict':{'columns_left': 'setCode', 'columns_right': 'code', 'type': 'equals','values': ['None']}}]}",-,-
806,Provide the eye colour of the superhero who has Karen Beecher-Duncan as their full name.,simple,superhero,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/superhero/superhero""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""full_name"":""Karen Beecher-Duncan""}}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/superhero/colour""}} ,{""function"":'combination', 'filter_dict': {""columns_left"":""eye_colour_id"",""columns_right"":""id"",""type"":""equals"",""values"":[""None""]}}]}",-,-
737,What is Copycat's race?,simple,superhero,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/superhero/superhero"",}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""superhero_name"":""Copycat""}}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/superhero/race"",}},{""function"":'combination', 'filter_dict': {""columns_left"":""race_id"",""columns_right"":""id"",""type"":""equals"",""values"":[""None""]}}]}",-,-
773,Please list the superhero names of all the superheroes that have blue eyes and blond hair.,challenging,superhero,"{'plans': [{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/superhero/superhero'}},{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/superhero/colour'}},{""function"": ""http://127.0.0.1:5200/filter"", ""values"": {""conditions"": {""colour"": ""Blond""}}},{""function"":'combination', 'filter_dict':{'columns_left': 'hair_colour_id', 'columns_right': 'id', 'type': 'equals','values': ['None']}},{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/superhero/colour'}},{""function"": ""http://127.0.0.1:5200/filter"", ""values"": {""conditions"": {""colour"": ""Blue""}}},{""function"":'combination', 'filter_dict':{'columns_left': 'eye_colour_id', 'columns_right': 'id', 'type': 'equals','values': ['None']}}]}",index,id
751,List down at least five superpowers of male superheroes.,moderate,superhero,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/superhero/superhero""}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/superhero/gender""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""gender"":""male""}}},{""function"":'combination', 'filter_dict': {""columns_left"": ""gender_id"", ""columns_right"": ""id"", ""type"": ""equals"", ""values"": [""None""]}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/superhero/hero_power""}},{""function"":'combination', 'filter_dict': {""columns_left"": ""id"", ""columns_right"": ""hero_id"", ""type"": ""equals"", ""values"": [""None""]}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/superhero/superpower""}},{""function"":'combination', 'filter_dict': {""columns_left"": ""power_id"", ""columns_right"": ""id"", ""type"": ""equals"", ""values"": [""None""]}}]}",-,-
786,How many heroes have the highest attribute value in strength?,moderate,superhero,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/superhero/attribute"",}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""attribute_name"":""Strength""}}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/superhero/hero_attribute"",}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""attribute_value"":100}}},{""function"":'combination', 'filter_dict': {""columns_left"":""id"",""columns_right"":""attribute_id"",""type"":""equals"",""values"":[""None""]}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/superhero/superhero"",}},{""function"":'combination', 'filter_dict': {""columns_left"":""hero_id"",""columns_right"":""id"",""type"":""equals"",""values"":[""None""]}},{""function"":""http://127.0.0.1:5200/count"",""filter_dict"":{""columns"":[""hero_id""]}}]}",-,-
